t,torque_signal
2.470246570000000030e+00,3.525485250020746197e-02
2.503628280000000039e+00,-3.026753183239097034e-01
2.537009991000000131e+00,2.259691927758830099e-01
2.570391701000000140e+00,-1.001343044928448972e-01
2.603773411999999787e+00,-1.360868659682781291e-02
2.637155121999999796e+00,-5.531341374822905388e-02
2.670536831999999805e+00,-2.988050501001481354e-02
2.703918542999999897e+00,-4.699972953783866647e-02
2.737300252999999906e+00,-3.559347328923910536e-02
2.770681963999999997e+00,-4.147963930532910792e-02
2.804063674000000006e+00,-4.330748151425876935e-02
2.837445384000000015e+00,-2.626661710490622165e-02
2.870827095000000106e+00,-8.663265862421828944e-02
2.904208805000000115e+00,2.126208326586703223e-01
2.937590516000000207e+00,-2.721874553860643697e-01
2.970972226000000216e+00,-4.448537545744948168e-03
3.004353935999999781e+00,1.170181918603107815e-02
3.037735646999999872e+00,-2.912360869192816004e-01
3.071117356999999881e+00,2.202485821604485139e-01
3.104499067999999973e+00,-9.777921374185727377e-02
3.137880777999999982e+00,-1.355802097491154781e-02
3.171262487999999991e+00,-5.745950024799610645e-02
3.204644199000000082e+00,-2.550919812304861672e-02
3.238025909000000091e+00,-5.420739667626969793e-02
3.271407620000000183e+00,-2.413510282147977859e-02
3.304789330000000191e+00,-6.039384782715512962e-02
3.338171040000000200e+00,-8.599528180894461249e-03
3.371552750999999848e+00,-1.058311511479941291e-01
3.404934460999999857e+00,2.347870380240473231e-01
3.438316171999999948e+00,-3.000920690021602888e-01
3.471697881999999957e+00,3.605842608514883696e-02
3.505079591999999966e+00,-6.567079771963824086e-02
3.538461303000000058e+00,-2.825514201259971686e-04
3.571843013000000067e+00,-6.652791293170090547e-02
3.605224724000000158e+00,3.818735546963391431e-02
3.638606434000000167e+00,-3.057002569799588398e-01
3.671988144000000176e+00,2.291838081290532569e-01
3.705369854999999824e+00,-1.036563620466621205e-01
3.738751564999999832e+00,-9.626090564257727689e-03
3.772133275999999924e+00,-5.996885606343747149e-02
3.805514985999999933e+00,-2.423889559365993707e-02
3.838896697000000025e+00,-5.412103523435043972e-02
3.872278407000000033e+00,-2.615479659438016413e-02
3.905660117000000042e+00,-5.479619279439680579e-02
3.939041828000000134e+00,-2.281714418047751936e-02
3.972423538000000143e+00,-6.230636116730899066e-02
4.005805248999999790e+00,-6.025758058507680454e-03
4.039186959000000243e+00,-1.093128276939183546e-01
4.072568668999999808e+00,2.396855617112454429e-01
4.105950380000000344e+00,-3.074360851054344090e-01
4.139332089999999909e+00,4.814489636675264167e-02
4.172713800999999556e+00,-8.868290488610997002e-02
4.206095511000000009e+00,5.674122377270307549e-02
4.239477220999999574e+00,-3.318358769782941975e-01
4.272858932000000109e+00,2.876813187744061140e-01
4.306240641999999674e+00,-3.695057141926241240e-01
4.339622353000000210e+00,2.397097118224958689e-01
4.373004062999999775e+00,-1.229419775217516220e-01
4.406385773000000228e+00,-1.514881620555300762e-02
4.439767483999999875e+00,-7.130471662065999972e-02
4.473149194000000328e+00,-3.473817395624474030e-02
4.506530904999999976e+00,-6.161296056317778352e-02
4.539912615000000429e+00,-4.029239648906965399e-02
4.573294324999999994e+00,-5.812295710255331593e-02
4.606676035999999641e+00,-4.262272939435279850e-02
4.640057746000000094e+00,-5.650456165185877011e-02
4.673439456999999742e+00,-4.377049558213499253e-02
4.706821167000000194e+00,-5.569050305173117721e-02
4.740202876999999759e+00,-4.432929535190721637e-02
4.773584588000000295e+00,-5.534534500669360119e-02
4.806966297999999860e+00,-4.447508693914205280e-02
4.840348009000000395e+00,-5.541018988479207846e-02
4.873729718999999960e+00,-4.415736359922706883e-02
4.907111429000000413e+00,-5.606996116910943628e-02
4.940493140000000061e+00,-4.298278375422474873e-02
4.973874849999999626e+00,-5.810101166431317493e-02
5.007256561000000161e+00,-3.936734169351972096e-02
