t,phi
-0.033381710405771,-0.0092350120467131
0,0.014128750700623
0.03338171,-0.0252342951771583
0.066763421,0.0594599751280158
0.100145131,-0.267984992570239
0.133526842,0.25237799596091
0.166908552,-0.0671349222608152
0.200290262,0.0144282638825347
0.233671973,-0.0239976068983885
0.267053683,0.000307086845464651
0.300435394,-0.018857166228001
0.333817104,-0.000153497270419668
0.367198814,-0.0230842704945356
0.400580525,0.013116955032047
0.433962235,-0.0657177746684014
0.467343946,0.252789634480186
0.500725656,-0.254652671158742
0.534107366,0.0461421279982535
0.567489077,-0.00710889106664604
0.600870787,-0.0158584145422447
0.634252498,0.0565017028040104
0.667634208,-0.270313512088215
0.701015918,0.261378413336263
0.734397629,-0.0886145852630069
0.767779339,0.0714140069353053
0.80116105,-0.291013083040351
0.83454276,0.253801279168895
0.867924471,-0.090847750743889
0.901306181,0.0279818943357138
0.934687891,-0.0903667354103622
0.968069602,0.254259780876136
1.001451312,-0.27537894859452
1.034833023,0.0487806450051981
1.068214733,-0.034295618713627
1.101596443,0.00318785984282827
1.134978154,-0.0177981559061654
1.168359864,-0.00481706016343831
1.201741575,-0.0131028075723986
1.235123285,-0.0080983186089151
1.268504995,-0.0102406558260492
1.301886706,-0.0114505190864509
1.335268416,-0.0048035532397169
1.368650127,-0.0234697012806289
1.402031837,0.0328559706477246
1.435413547,-0.249728961916048
1.468795258,0.179549289655803
1.502176968,0.195396404012473
1.535558679,-0.253537375341298
1.568940389,0.0408259875898283
1.602322099,-0.0345703678916215
1.63570381,0.0108345194790574
1.66908552,-0.0351270338569853
1.702467231,0.0302958342228922
1.735848941,-0.0953122907135663
1.769230651,0.319042741236005
1.802612362,-0.533619752503472
1.835994072,0.317188649659811
1.869375783,-0.109264554401262
1.902757493,0.079472515928979
1.936139203,-0.292085713203574
1.969520914,0.249102096869733
2.002902624,-0.0790195040811598
2.036284335,0.0031963903403826
2.069666045,-0.0295215226270465
2.103047755,-0.0173211489223834
2.136429466,-0.016334049686002
2.169811176,-0.0302642026271126
2.203192887,0.00342627939434316
2.236574597,-0.0785093611601956
2.269956307,0.248777314989618
2.303338018,-0.274043241795505
2.336719728,0.0509299845385129
2.370101439,-0.0403308812807609
2.403483149,0.0150440889401535
2.43686486,-0.0414474618343547
2.47024657,0.0536038388494476
2.50362828,-0.280563861303227
2.537009991,0.244237327013575
2.570391701,-0.0779452716248698
2.603773412,0.00470004320779185
2.637155122,-0.0331379767293922
2.670536832,-0.0115651106985596
2.703918543,-0.0248279993423028
2.737300253,-0.0172760974539572
2.770681964,-0.0193085118958483
2.804063674,-0.0249910920517735
2.837445384,-0.00409184457740044
2.870827095,-0.0683263182396597
2.904208805,0.234831757578474
2.937590516,-0.253793790636967
2.970972226,0.0176761412088205
3.004353936,0.0300699358177987
3.037735647,-0.26913938932589
3.071117357,0.238529233070192
3.104499068,-0.0756015680310783
3.137880778,0.00476167985618283
3.171262488,-0.035295172594847
3.204644199,-0.00718202964677728
3.238025909,-0.0320487141702079
3.27140762,-0.00580256393795416
3.30478933,-0.0382413709959299
3.33817104,0.00974166741640314
3.371552751,-0.0836939699074064
3.404934461,0.253170367239334
3.438316172,-0.277875051713771
3.471697882,0.0543660776632521
3.505079592,-0.0434973375275179
3.538461303,0.0180432550764015
3.571843013,-0.0443686193447002
3.605224724,0.0565313813367136
3.638606434,-0.283584649461027
3.671988144,0.247448626259233
3.705369855,-0.081464898033075
3.738751565,0.00868117627011414
3.772133276,-0.0377930511867059
3.805514986,-0.0059225845191202
3.838896697,-0.0319517915657607
3.872278407,-0.00783292231344618
3.905660117,-0.0326322986606077
