t,torque_signal
2.970972225992110083e+00,2.784949893491099449e+00
3.004353936396510161e+00,-5.041285879374911794e+00
3.037735646800920009e+00,8.101343468857521657e+00
3.071117357205320086e+00,-6.405572803709695506e+00
3.104499067609729934e+00,8.301588002377666697e+00
3.137880778014139782e+00,-6.688901079268370076e+00
3.171262488418539860e+00,7.648411743691339915e+00
3.204644198822950152e+00,-2.904602851588887980e+00
3.238025909227349786e+00,8.773802451650087875e+00
3.271407619631760078e+00,-1.224036818363918044e+01
3.304789330036160155e+00,1.421656948526513631e+01
3.338171040440570003e+00,-1.191212709960433358e+01
3.371552750844979851e+00,7.930453744412357509e+00
3.404934461249379929e+00,-1.268521718657142472e+00
3.438316171653790221e+00,1.371004420564662762e+00
3.471697882058189855e+00,4.002331723577169376e-01
3.505079592462600147e+00,4.092912475961746344e-01
3.538461302866999780e+00,1.682268915733115211e+00
3.571843013271410072e+00,-4.901695090728880544e+00
3.605224723675819920e+00,5.874708285663832186e+00
3.638606434080219998e+00,-7.506653810736096943e-01
3.671988144484629846e+00,9.131012077685713990e-01
3.705369854889029924e+00,1.256657272829572181e-01
3.738751565293440215e+00,6.279933077211439230e-01
3.772133275697839849e+00,2.461638851107812165e-01
3.805514986102250141e+00,5.678957670206783437e-01
3.838896696506659989e+00,2.818044557970604824e-01
3.872278406911060067e+00,5.401898636944141296e-01
3.905660117315469915e+00,3.131414428345901113e-01
3.939041827719869993e+00,4.904468567475672724e-01
3.972423538124279840e+00,4.126741961820694637e-01
4.005805248528679918e+00,2.474779510964281171e-01
4.039186958933090210e+00,1.200274596532202143e+00
4.072568669337499614e+00,-4.519251026969245189e+00
4.105950379741900136e+00,4.296772458763062907e+00
4.139332090146310428e+00,4.852064278008979770e+00
4.172713800550710062e+00,-4.814008837733029011e+00
4.206095510955120353e+00,1.561963444971479653e+00
4.239477221359519987e+00,-1.428017055546008662e-01
4.272858931763930279e+00,8.310951528485428508e-01
4.306240642168339683e+00,3.320652493114822912e-02
4.339622352572740205e+00,8.328244739798357221e-01
4.373004062977149609e+00,-9.382493029078387003e-02
4.406385773381550131e+00,1.165972036493289954e+00
4.439767483785960422e+00,-1.061859693397732674e+00
4.473149194190360056e+00,6.309706043200927539e+00
4.506530904594770348e+00,-5.173099301679795481e+00
4.539912614999169982e+00,2.142454982902282978e+00
4.573294325403580274e+00,-2.629004235488193175e-01
4.606676035807989678e+00,1.418184973831958517e+00
4.640057746212390200e+00,-3.420454354979589606e-01
4.673439456616799603e+00,2.325861575909848877e+00
4.706821167021200125e+00,-5.554014036380024777e+00
4.740202877425610417e+00,6.705730528580012617e+00
4.773584587830019821e+00,-2.274269405557233004e+00
4.806966298234420343e+00,6.825502407793431203e+00
4.840348008638829747e+00,-5.476474620851170982e+00
4.873729719043230268e+00,2.375035638654307668e+00
4.907111429447639672e+00,-5.056068671905116219e-01
4.940493139852040194e+00,1.789196229721734976e+00
4.973874850256449598e+00,-1.244900002746228918e+00
5.007256560660850120e+00,7.060192976169036960e+00
5.040638271065260412e+00,-6.162327251221393354e+00
5.074019981469669816e+00,7.873283713948102225e+00
5.107401691874070337e+00,-5.161416691549140623e+00
5.140783402278479741e+00,2.684216089858159293e+00
5.174165112682880263e+00,2.014138387654627604e-01
5.207546823087289667e+00,1.603073415681878222e+00
5.240928533491690189e+00,6.063794275272490486e-01
5.274310243896099593e+00,1.408220040887354418e+00
5.307691954300509884e+00,7.118661071101091142e-01
5.341073664704910406e+00,1.349183153322980777e+00
5.374455375109319810e+00,7.424289843615833329e-01
5.407837085513720332e+00,1.339305620292455590e+00
5.441218795918129736e+00,7.340567484716059576e-01
5.474600506322530258e+00,1.367576803250305062e+00
5.507982216726939662e+00,6.791775783424892632e-01
5.541363927131349953e+00,1.465188571122839400e+00
5.574745637535749587e+00,4.995722935775620543e-01
5.608127347940159879e+00,1.839480136584396686e+00
5.641509058344560401e+00,-5.159126145178785094e-01
5.674890768748969805e+00,7.056142954823175550e+00
5.708272479153370327e+00,-4.764499069607778026e+00
5.741654189557779731e+00,3.199257936537497127e+00
5.775035899962190022e+00,-7.726295311884677774e-01
5.808417610366589656e+00,7.538373946471081943e+00
5.841799320770999948e+00,-4.841485205034069317e+00
5.875181031175399582e+00,4.090576276659353638e+00
5.908562741579809874e+00,-4.825793657872077702e+00
5.941944451984210396e+00,7.136543335372154573e+00
5.975326162388619800e+00,-1.380350150681611821e-01
6.008707872793030091e+00,1.703420748924109773e+00
6.042089583197429725e+00,1.662635015207043043e+00
6.075471293601840017e+00,-3.433666218527671177e+00
6.108853004006239651e+00,4.930808060887100552e+00
6.142234714410649943e+00,5.853611565026585417e+00
6.175616424815049577e+00,-4.152690705255530190e+00
6.208998135219459868e+00,2.593146564652918151e+00
6.242379845623870160e+00,4.042281511673453398e-01
6.275761556028269794e+00,2.166168346675584111e+00
6.309143266432680086e+00,-3.546742261854817224e-01
6.342524976837079720e+00,7.291806848235197869e+00
6.375906687241490012e+00,-4.646627138734124252e+00
6.409288397645889646e+00,3.890483159017017911e+00
6.442670108050299937e+00,-4.562716840577447641e+00
6.476051818454699571e+00,6.687665035243518297e+00
6.509433528859109863e+00,9.500062988355478799e-01
6.542815239263520155e+00,-3.589873146551647576e+00
6.576196949667919789e+00,5.999426717979527979e+00
6.609578660072330081e+00,3.109219256382842467e-01
6.642960370476729715e+00,1.102746643531095971e+00
6.676342080881140006e+00,1.219243518517893810e+00
6.709723791285539640e+00,6.867651069078919424e-01
6.743105501689949932e+00,1.663795402731073736e+00
6.776487212094360224e+00,-3.220570070212579461e-01
6.809868922498759858e+00,6.811614060627354306e+00
6.843250632903170150e+00,-4.412336038088739976e+00
6.876632343307569784e+00,2.599039757322948230e+00
6.910014053711980075e+00,5.792855737747663047e-01
6.943395764116390367e+00,1.724236232609829278e+00
6.976777474520790001e+00,8.194763648974291437e-01
7.010159184925200293e+00,1.726861046997576699e+00
7.043540895329599927e+00,5.711418043475294803e-01
7.076922605734010219e+00,2.622721855919721623e+00
7.110304316138409852e+00,-4.499213028665218772e+00
7.143686026542820144e+00,6.649419195302537666e+00
7.177067736947230436e+00,-2.241283980616068927e-01
7.210449447351630070e+00,1.585363991442195086e+00
7.243831157756040362e+00,7.471577850545930710e-01
7.277212868160439996e+00,1.199924608018003269e+00
7.310594578564850288e+00,9.924869275676072577e-01
7.343976288969249921e+00,9.511254863984329733e-01
7.377357999373660213e+00,1.390067384275615936e+00
7.410739709778059847e+00,-4.932242036075229485e-02
7.444121420182470139e+00,6.544322536018852610e+00
7.477503130586880431e+00,-4.152924741149352172e+00
7.510884840991280065e+00,2.349494452011412271e+00
7.544266551395690357e+00,8.165697125967134040e-01
7.577648261800089990e+00,1.502816095239630556e+00
7.611029972204500282e+00,1.019013188221136179e+00
7.644411682608909686e+00,1.560056056437981287e+00
7.677793393013310208e+00,6.838468856362094339e-01
7.711175103417719612e+00,2.611832978749065948e+00
7.744556813822120134e+00,-4.719263250892403505e+00
7.777938524226530426e+00,7.584932477500652581e+00
7.811320234630930059e+00,-5.544308964576061705e+00
7.844701945035340351e+00,6.559224844224154971e+00
7.878083655439739985e+00,-2.847454369073268987e-01
7.911465365844150277e+00,1.046691659087035875e+00
7.944847076248559681e+00,1.131993378638971093e+00
7.978228786652960203e+00,-3.171432399225149190e-01
8.011610497057370495e+00,6.451565259162408417e+00
8.044992207461769240e+00,-4.503452907493576518e+00
8.078373917866180420e+00,2.295603760084910849e+00
8.111755628270579166e+00,4.569509422860681958e-01
8.145137338674990346e+00,1.429735318932841448e+00
8.178519049079399750e+00,7.176604355167179872e-01
8.211900759483800272e+00,1.355537527355225702e+00
8.245282469888209675e+00,6.931036330004559654e-01
