t,torque_signal
2.103047755477560177e+00,-1.024468725064549623e+01
2.136429465881959811e+00,7.210163457454381586e+00
2.169811176286370102e+00,-8.736070511670428473e-01
2.203192886690779950e+00,1.106970576743966372e+00
2.236574597095180028e+00,6.303049815651239340e-01
2.269956307499589876e+00,1.257187518779894764e-01
2.303338017903989954e+00,2.173075243465961037e+00
2.336719728308399802e+00,-6.104611156466406285e+00
2.370101438712799879e+00,1.147958180542089579e+01
2.403483149117210171e+00,-6.054571902331986166e+00
2.436864859521620019e+00,2.367623939327023752e+00
2.470246569926020097e+00,-3.367896715455739320e-01
2.503628280330429945e+00,1.559704781441135779e+00
2.537009990734830023e+00,-9.870424186285491341e-01
2.570391701139239871e+00,6.783946277987206841e+00
2.603773411543639948e+00,-5.868807100520462505e+00
2.637155121948049796e+00,7.555132727774631185e+00
2.670536832352460088e+00,-4.800804389015054241e+00
2.703918542756860166e+00,2.235795482435026127e+00
2.737300253161270014e+00,8.625828783487821116e-01
2.770681963565670092e+00,2.487657700491706092e-01
2.804063673970079940e+00,6.315440270659151700e+00
2.837445384374480017e+00,-3.915111898547916525e+00
2.870827094778889865e+00,2.036733321636261529e+00
2.904208805183300157e+00,1.293505465746403571e+00
2.937590515587699791e+00,6.742730987404303988e-01
2.970972225992110083e+00,2.784762176419168789e+00
3.004353936396510161e+00,-5.041480953726446224e+00
3.037735646800920009e+00,8.101184285046368672e+00
3.071117357205320086e+00,-6.405734676019232410e+00
3.104499067609729934e+00,8.301459432263310845e+00
3.137880778014139782e+00,-6.689030361310416950e+00
3.171262488418539860e+00,7.648313873128174123e+00
3.204644198822950152e+00,-2.904698530675405621e+00
3.238025909227349786e+00,8.773710478400518653e+00
3.271407619631760078e+00,-1.224049546067896088e+01
3.304789330036160155e+00,1.421647243665863769e+01
3.338171040440570003e+00,-1.191225049010766135e+01
3.371552750844979851e+00,7.930351289264112147e+00
3.404934461249379929e+00,-1.268612469526622100e+00
3.438316171653790221e+00,1.370905323958904631e+00
3.471697882058189855e+00,4.001411187408010495e-01
3.505079592462600147e+00,4.091926930018132680e-01
3.538461302866999780e+00,1.682176960729755200e+00
3.571843013271410072e+00,-4.901795305330120200e+00
3.605224723675819920e+00,5.874643492189608907e+00
3.638606434080219998e+00,-7.507294612159938207e-01
3.671988144484629846e+00,9.130382983652478579e-01
3.705369854889029924e+00,1.256011228449670503e-01
3.738751565293440215e+00,6.279306013667871333e-01
3.772133275697839849e+00,2.460991960044173199e-01
3.805514986102250141e+00,5.678330914768411342e-01
3.838896696506659989e+00,2.817397646012255730e-01
3.872278406911060067e+00,5.401271713511527350e-01
3.905660117315469915e+00,3.130767858056033859e-01
3.939041827719869993e+00,4.903841066976820651e-01
3.972423538124279840e+00,4.126096396446423675e-01
4.005805248528679918e+00,2.474150045393788133e-01
4.039186958933090210e+00,1.200210510805725050e+00
4.072568669337499614e+00,-4.519315695203282246e+00
4.105950379741900136e+00,4.296735136705498448e+00
4.139332090146310428e+00,4.852037620462084533e+00
4.172713800550710062e+00,-4.814071610261279055e+00
4.206095510955120353e+00,1.561900279695545457e+00
4.239477221359519987e+00,-1.428663067440633094e-01
4.272858931763930279e+00,8.310325821990689477e-01
4.306240642168339683e+00,3.314157612460943980e-02
